MeanPrefLANs,StdPrefLANs,MeanWait,StdWait,LANs,Persons,Latency,MeanReachedPersons
3,2,5,2,10,50,101.33696517433043,8.725806451612904
3,2,5,2,10,50,118.50525809125492,7.853174603174603
3,2,5,2,10,50,114.59820684021892,7.516129032258065
3,2,5,2,10,50,122.80362672367602,5.739484396200814
3,2,5,2,10,50,113.37133003697924,6.636986301369863
3,2,5,2,10,50,104.69763709200863,8.054161162483487
3,2,5,2,10,50,104.25547918378281,7.954007884362681
3,2,5,2,10,50,126.92337788271979,6.897260273972603
3,2,5,2,10,50,111.93446623342759,7.223418573351279
3,2,5,2,10,50,102.50264475725896,6.70757180156658
3,2,5,2,10,50,95.13635344350111,7.204986149584488
3,2,5,2,10,50,111.15666180412991,3.314207650273224
3,2,5,2,10,50,95.57048130401802,10.177353342428377
3,2,5,2,10,50,102.04292202734482,8.828729281767956
3,2,5,2,10,50,103.84597607651506,11.013642564802183
3,2,5,2,10,50,111.46953646911817,8.438692098092643
3,2,5,2,10,50,121.07614941617884,7.450070323488045
3,2,5,2,10,50,124.48054328113658,6.2971887550200805
3,2,5,2,10,50,115.73652074404701,7.477551020408163
3,2,5,2,10,50,115.92406817326953,7.186827956989247
3,2,10,2,10,50,117.04413848352517,8.641379310344828
3,2,10,2,10,50,103.30423673647202,5.733333333333333
3,2,10,2,10,50,114.58225215275924,7.759731543624161
3,2,10,2,10,50,110.5440798895342,9.502057613168724
3,2,10,2,10,50,109.12805241091849,7.037958115183246
3,2,10,2,10,50,115.8998627794783,7.147496617050067
3,2,10,2,10,50,107.66297961765828,6.7713125845737485
3,2,10,2,10,50,119.67003532381865,6.749656121045392
3,2,10,2,10,50,102.60557776089291,10.483286908077995
3,2,10,2,10,50,128.7217240250152,6.946808510638298
3,2,10,2,10,50,112.22212806282936,9.528150134048257
3,2,10,2,10,50,116.27101913486229,8.412868632707776
3,2,10,2,10,50,92.55745950078969,12.530219780219781
3,2,10,2,10,50,97.05195840689066,5.797297297297297
3,2,10,2,10,50,100.16049150095732,7.392265193370166
3,2,10,2,10,50,115.8235488424757,8.402925531914894
3,2,10,2,10,50,114.97179925079017,7.461935483870968
3,2,10,2,10,50,127.89171820246227,5.375338753387534
3,2,10,2,10,50,119.86832605818482,9.307479224376731
3,2,10,2,10,50,91.53898557964685,10.906666666666666
3,2,15,2,10,50,117.03744814438771,7.464788732394366
3,2,15,2,10,50,118.34629794023977,9.134246575342466
3,2,15,2,10,50,122.92884417684172,5.606425702811245
3,2,15,2,10,50,104.2993023273452,10.700268817204302
3,2,15,2,10,50,109.7487533332408,9.535762483130904
3,2,15,2,10,50,115.77157367441143,10.820408163265306
3,2,15,2,10,50,115.25613566975153,11.341430499325236
3,2,15,2,10,50,109.03152290468947,7.267123287671233
3,2,15,2,10,50,125.80807774665075,7.15625
3,2,15,2,10,50,99.37611023665652,11.81267217630854
3,2,15,2,10,50,117.22074408716225,5.034199726402189
3,2,15,2,10,50,101.03352151345842,13.079530638852672
3,2,15,2,10,50,131.60671879788052,8.02664796633941
3,2,15,2,10,50,94.23628636993475,9.52063914780293
3,2,15,2,10,50,113.08518106526854,8.962912087912088
3,2,15,2,10,50,109.89710148490012,8.919786096256685
3,2,15,2,10,50,109.21340501341868,7.091390728476822
3,2,15,2,10,50,122.86483042506408,6.652291105121294
3,2,15,2,10,50,112.81695848730627,9.204576043068641
3,2,15,2,10,50,109.15572748404286,6.692923898531375
3,2,20,2,10,50,113.93476487268757,11.442389758179232
3,2,20,2,10,50,117.81869317923596,9.80939226519337
3,2,20,2,10,50,119.60411850778098,7.131837307152876
3,2,20,2,10,50,114.40315406940533,6.939947780678851
3,2,20,2,10,50,114.47923885023299,7.267206477732794
3,2,20,2,10,50,113.09945562172061,7.340782122905028
3,2,20,2,10,50,113.99308342473263,9.97609561752988
3,2,20,2,10,50,116.52247945643722,9.083798882681565
3,2,20,2,10,50,123.89974701015699,5.773712737127371
3,2,20,2,10,50,117.55059692514939,6.800271739130435
3,2,20,2,10,50,110.40912928593326,6.185636856368563
3,2,20,2,10,50,115.49247361285666,6.364123159303882
3,2,20,2,10,50,115.18310962938281,9.08174386920981
3,2,20,2,10,50,118.61103710170802,6.6474530831099194
3,2,20,2,10,50,134.15866240979673,6.049315068493151
3,2,20,2,10,50,134.5425394365736,5.890449438202247
3,2,20,2,10,50,115.65253969692078,8.99867374005305
3,2,20,2,10,50,121.94835901417493,10.27369826435247
3,2,20,2,10,50,102.26186424435775,8.428759894459104
3,2,20,2,10,50,114.6655262167252,9.792065663474693
3,2,25,2,10,50,117.20911898322153,7.109164420485175
3,2,25,2,10,50,120.07231639758388,5.830188679245283
3,2,25,2,10,50,104.24583574772367,11.06675749318801
3,2,25,2,10,50,128.35620364644546,8.966216216216216
3,2,25,2,10,50,107.20935038158021,8.858681022880216
3,2,25,2,10,50,103.02916799778478,10.148448043184885
3,2,25,2,10,50,111.70429122096297,8.33957219251337
3,2,25,2,10,50,116.49755309921511,8.097527472527473
3,2,25,2,10,50,132.73686625663208,5.789403973509934
3,2,25,2,10,50,99.75318665660971,8.188186813186814
3,2,25,2,10,50,107.5879427503628,11.078982597054885
3,2,25,2,10,50,122.46155472933464,11.258152173913043
3,2,25,2,10,50,117.23600171557283,8.959514170040485
3,2,25,2,10,50,126.85432341450662,7.322324966974901
3,2,25,2,10,50,120.34661501168094,8.79343365253078
3,2,25,2,10,50,105.01500289896111,8.701492537313433
3,2,25,2,10,50,108.35342314237852,7.945767195767195
3,2,25,2,10,50,108.77004572623107,9.85054347826087
3,2,25,2,10,50,101.82722269267398,8.97872340425532
3,2,25,2,10,50,131.57409018921254,4.500680272108844
3,2,30,2,10,50,123.86228941947117,8.421703296703297
3,2,30,2,10,50,116.47394611230573,10.071146245059289
3,2,30,2,10,50,116.24284200926957,7.483130904183536
3,2,30,2,10,50,100.80516130187064,8.974358974358974
3,2,30,2,10,50,125.29019333773545,7.25891677675033
3,2,30,2,10,50,107.74480685024092,8.78191489361702
3,2,30,2,10,50,113.06428887721323,7.900530503978779
3,2,30,2,10,50,115.30363166110642,8.902925531914894
3,2,30,2,10,50,121.35764103203417,9.436918990703852
3,2,30,2,10,50,111.16101748911728,7.52544704264099
3,2,30,2,10,50,129.50117239563895,5.334239130434782
3,2,30,2,10,50,119.05886100225115,5.870619946091645
3,2,30,2,10,50,129.21472247160185,6
3,2,30,2,10,50,114.96185738083874,9.254742547425474
3,2,30,2,10,50,113.98177914315907,6.715046604527297
3,2,30,2,10,50,100.75383660302582,9.666208791208792
3,2,30,2,10,50,111.67947947618045,8.994708994708995
3,2,30,2,10,50,131.04712318603504,6.306429548563612
3,2,30,2,10,50,118.51288873519509,6.653034300791557
3,2,30,2,10,50,106.50923051381073,9.983026874115984
3,2,35,2,10,50,92.64696947158079,10.50679347826087
3,2,35,2,10,50,98.45277018135137,10.19277108433735
3,2,35,2,10,50,95.00706498368773,7.695478723404255
3,2,35,2,10,50,102.89745185890362,9.710306406685238
3,2,35,2,10,50,111.72038819226806,7.845744680851064
3,2,35,2,10,50,107.70854404503898,6.097693351424695
3,2,35,2,10,50,115.77639115009188,7.718194254445964
3,2,35,2,10,50,112.80530770842174,6.040983606557377
